dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_n_clusters,julia_n_clusters,python_n_noise,julia_n_noise,python_death_ari,python_death_nmi,python_hospitalized_ari,python_hospitalized_nmi,julia_death_ari,julia_death_nmi,julia_hospitalized_ari,julia_hospitalized_nmi,python_exitus_ari,python_exitus_nmi,julia_exitus_ari,julia_exitus_nmi,python_outcome_ari,python_outcome_nmi,julia_outcome_ari,julia_outcome_nmi,python_mortality_ari,python_mortality_nmi,julia_mortality_ari,julia_mortality_nmi,python_insulin_regimen_ari,python_insulin_regimen_nmi,julia_insulin_regimen_ari,julia_insulin_regimen_nmi
circles,0.01488899999822019919182292113646,5.54299998283386230468750000000000,-0.01281397935054526607268066129564,-0.01281397935054526607268066129564,False,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
moons,0.01000710000516840010587049647484,0.02600002288818350007493229725242,0.53469983604387483211439757724293,0.53469983604387483211439757724293,True,True,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
varied,0.00935870000103019954174055072826,0.02800011634826660156250000000000,0.07704437304158485988470062011402,0.07704437304158485988470062011402,False,True,3,3,45,45,,,,,,,,,,,,,,,,,,,,,,,,
aniso,0.00795049998851020053858285052684,0.02599978446960439851243229725242,0.15391949200870050362688346012874,0.15341799335540876048078473559144,False,False,9,9,47,46,,,,,,,,,,,,,,,,,,,,,,,,
blobs,0.00766270000895009992941675491807,0.02800011634826660156250000000000,0.48536829587145802200609523424646,0.48536829587145802200609523424646,False,True,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,
no_structure,0.00855660000524939914900990345359,0.02399992942810049920132620115965,0.16564332527374309167456090108317,0.15952743233918448284569535644550,False,False,31,29,95,106,,,,,,,,,,,,,,,,,,,,,,,,
heartfailure,0.00674630000139580035534159208055,0.01900005340576170140276524023193,-0.14736905306829525819090065397177,-0.14736905306829525819090065397177,True,True,3,3,219,219,-0.00443060295897505090900736490767,0.01947445485684433028050754899141,0.00633803210874597702101373997152,0.00325621773289501686282632064717,-0.00443060295897505090900736490767,0.01947445485684433028050754899141,0.00633803210874597702101373997152,0.00325621773289501686282632064717,,,,,,,,,,,,,,,,
cardiacarrest,0.01044640000327489923193091669873,0.01999998092651359901661400897410,-0.26397482058226062751060680966475,-0.72992739432468745075510696551646,False,False,3,2,19,43,,,,,,,,,-0.03139861767750229404327910742722,0.01559871222322967328210996384996,-0.04274730587817958393781481163387,0.00654605057300393800706617142282,,,,,,,,,,,,
neuroblastoma,0.00358039999264289990343890224267,0.00300002098083489978849747181755,-0.20614511814082209228971009906672,-0.20614511814082209228971009906672,True,True,2,2,2,2,,,,,,,,,,,,,-0.00737110309414908994318782475830,0.09298485422177231451978940413028,-0.00737110309414908994318782475830,0.09298485422177231451978940413028,,,,,,,,
sepsis,0.03167189999658139715199567376658,0.22300004959106439761384876874217,-0.35654248393638598990662558207987,-0.35924335117255429272731248602213,False,False,13,14,550,545,,,,,,,,,,,,,,,,,0.02765759186960525806142641158658,0.08359340063371539786274411198974,0.02922755355221855547154241605767,0.08235456579151984035647160453664,,,,
type1diabetes,0.00160560000222170003343624689052,0.00100016593933100004371050673058,,,True,True,0,0,67,67,,,,,,,,,,,,,,,,,,,,,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000,0.00000000000000000000000000000000
